#{"t_start": 1707175045.1665442, "env_id": "Radar-v0"}
r,l,t
64,40,160.007475
40,34,160.289508
63,43,160.403721
57,40,160.494787
47,44,160.864905
17,44,160.978749
61,47,161.125843
43,44,161.473197
45,44,161.574068
67,38,161.666635
54,34,162.159813
54,35,162.25413
75,40,162.345614
43,42,162.45997
49,41,162.804892
52,41,162.926626
75,49,163.073016
42,42,163.474447
43,41,163.572547
48,41,163.680095
78,45,164.025161
33,42,164.132816
80,49,164.251431
35,46,164.478484
48,40,164.551323
65,38,164.669626
60,36,165.296808
49,33,165.378183
38,29,165.44758
59,45,165.695266
68,47,165.842218
58,35,165.953975
13,36,166.239732
57,47,166.367512
48,40,166.501673
32,44,166.71397
47,37,166.82027
49,38,166.926144
41,39,167.035623
30,39,167.45688
51,47,167.559686
64,41,167.666786
20,38,168.035989
24,43,168.132038
45,41,168.225863
32,40,168.474749
74,47,168.603207
41,37,168.674532
59,44,168.979378
59,41,169.082524
20,35,169.187629
11,43,169.964907
50,45,170.087471
39,43,170.212721
44,41,170.862587
66,40,170.964245
44,31,171.048287
51,44,171.271683
42,41,171.378146
63,44,171.484032
70,41,171.604978
54,47,171.964597
51,33,172.044483
52,34,172.128753
34,35,172.467565
45,44,172.549887
44,35,172.634837
35,38,173.0718
34,45,173.173584
46,40,173.264149
21,41,173.582451
14,40,173.702145
50,34,173.776924
32,41,173.885003
45,42,174.128988
38,39,174.220056
59,44,174.313581
57,32,174.476989
67,47,174.589936
29,38,174.675052
70,38,174.861625
66,38,174.967922
22,42,175.062756
48,44,175.596208
28,38,175.686503
45,40,175.78256
61,42,176.048413
3,45,176.169231
58,41,176.279953
42,41,176.523769
57,44,176.645309
49,38,176.751638
26,47,176.97653
54,43,177.089224
63,34,177.165154
25,47,177.384437
62,41,177.507503
45,39,177.612427
21,40,177.735223
57,44,177.93561
50,43,178.023124
51,40,178.101968
20,39,178.290408
58,43,178.388035
56,46,178.47915
64,43,178.697038
21,40,178.810346
47,41,178.916858
53,35,179.117584
11,38,179.223882
33,41,179.323754
51,41,179.549771
71,41,179.656916
11,39,179.742797
53,41,179.964886
44,37,180.071364
3,36,180.166125
41,47,180.43247
50,43,180.554923
36,45,180.689486
69,43,180.94322
55,44,181.024505
61,44,181.151557
60,38,181.346589
43,40,181.461632
34,37,181.545419
62,41,181.630535
68,47,181.875949
36,42,181.974787
61,44,182.088351
68,44,182.327498
59,44,182.469249
43,47,182.733039
22,40,182.837245
45,38,182.943733
58,46,183.179512
44,34,183.286762
9,41,183.403641
26,43,183.514914
66,43,183.735026
44,41,183.854593
37,39,183.974009
79,44,184.196268
46,45,184.316154
39,47,184.450605
29,42,184.68632
33,35,184.771375
75,44,184.903108
66,37,185.108958
45,44,185.218912
54,38,185.328812
60,41,185.556482
48,35,185.649941
27,44,185.763493
54,31,185.989106
46,38,186.10407
49,47,186.223282
37,43,186.451605
39,46,186.577461
60,42,186.68147
27,46,186.884146
49,37,186.990522
29,43,187.101056
58,40,187.225631
44,45,187.44344
50,38,187.52815
25,35,187.60905
50,41,187.820776
33,40,187.926241
57,44,188.043276
39,43,188.253047
46,49,188.375513
50,41,188.507419
45,44,188.72838
54,35,188.81748
61,35,188.917797
56,50,189.176403
25,43,189.290793
33,40,189.413299
61,50,189.648639
37,38,189.746518
25,40,189.851219
10,41,190.052817
53,38,190.158747
74,46,190.274527
46,46,190.523576
66,40,190.610594
66,41,190.7185
68,45,191.044006
75,43,191.14278
66,47,191.242779
69,46,191.446426
30,44,191.555877
64,40,191.640537
82,46,191.839882
52,43,191.945627
38,38,192.045851
41,43,192.208901
14,44,192.293329
41,38,192.385868
27,41,192.60233
68,41,192.710353
57,36,192.81171
47,40,193.038785
40,41,193.151758
20,38,193.255615
50,33,193.351874
57,43,193.560867
57,43,193.653551
70,41,193.743599
57,36,194.049141
64,41,194.1394
43,44,194.249828
73,49,194.617912
55,38,194.71545
38,38,194.81549
51,39,195.012655
55,48,195.130658
37,39,195.231332
50,36,195.412962
65,35,195.515562
68,43,195.616706
63,47,195.834615
63,44,195.957925
28,41,196.063313
49,43,196.276598
39,44,196.401093
62,37,196.499589
74,44,196.716352
55,37,196.808774
60,38,196.908091
70,38,196.991182
71,45,197.209741
65,40,197.288804
72,44,197.384357
63,39,197.602931
52,42,197.680145
20,38,197.764398
45,43,197.97395
76,43,198.067217
52,40,198.138271
59,41,198.335014
31,44,198.462505
51,37,198.559809
76,44,198.771869
79,44,198.907166
73,42,199.022259
56,44,199.239774
39,37,199.333863
36,44,199.435007
38,39,199.627592
23,43,199.74673
78,47,199.84554
62,40,200.055727
58,41,200.132558
27,46,200.192715
53,46,200.389025
52,44,200.506779
38,44,200.618038
38,34,200.810151
32,39,200.920402
39,41,201.002473
49,38,201.197997
42,37,201.298837
62,38,201.407028
55,41,201.51789
57,44,201.743202
26,38,201.841911
62,39,201.95205
45,41,202.161643
42,47,202.294753
38,45,202.38862
42,36,202.594517
66,47,202.706106
54,47,202.830685
44,44,203.036098
43,46,203.147701
45,34,203.235244
48,41,203.438557
41,44,203.578166
