#{"t_start": 1707153303.3442564, "env_id": "Radar-v0"}
r,l,t
33.615096,31,65.425382
48.378854,35,65.50036
39.809644,41,65.589091
15.392227,39,65.774594
20.294423,37,65.88903
49.995119,38,66.003617
56.516232,37,66.198656
47.05998,28,66.273119
39.285708,32,66.326671
11.328234,32,66.385192
64.85911,44,66.606504
37.017613,41,66.729743
65.81826,41,66.822478
43.284508,44,67.073862
30.548367,39,67.149374
63.305392,38,67.198701
33.171478,39,67.35897
23.568915,38,67.441839
28.507441,42,67.533332
53.515538,42,67.616072
41.467704,35,67.930212
46.196876,45,67.989741
42.40288,35,68.040906
37.462442,33,68.240593
38.576093,29,68.294986
23.743253,38,68.372501
36.050431,34,68.435996
43.655217,31,68.632823
36.573031,40,68.724383
49.552342,39,68.817147
47.321499,44,69.060838
25.861372,30,69.14212
42.195904,35,69.233229
49.64797,41,69.371319
44.689463,34,69.544767
50.843458,37,69.612981
36.786025,44,69.703957
60.198733,37,69.892844
50.029437,33,70.005644
36.124581,40,70.104026
43.094703,38,70.320966
23.029858,35,70.424328
37.927967,32,70.503107
38.673504,45,70.627216
45.962013,39,70.885403
37.989105,46,70.976607
34.192107,38,71.05673
52.215557,37,71.22609
47.113051,41,71.342457
44.666755,44,71.458699
47.217582,47,71.695914
39.105233,30,71.764254
20.520237,36,71.834612
46.176558,38,71.919331
60.532221,39,72.091747
28.158797,40,72.172589
33.353842,41,72.234608
40.369278,33,72.396808
59.643275,40,72.487624
29.731914,37,72.563444
49.913566,38,72.748949
49.164783,38,72.84762
46.07712,44,72.9401
43.836638,32,73.010273
27.969451,47,73.224022
60.978428,38,73.333939
54.653052,40,73.446398
32.291579,37,73.639348
57.168575,40,73.732266
65.959033,38,73.82592
44.131013,35,74.00572
55.184486,38,74.107248
55.810816,42,74.202803
19.464504,41,74.398776
56.594148,44,74.52674
25.615066,37,74.614164
34.176104,38,74.713736
41.924286,41,74.902924
60.73117,41,74.986827
25.50648,34,75.063285
47.552352,36,75.254909
32.237411,44,75.359768
23.886729,44,75.456003
50.036111,41,75.831142
58.675637,38,75.915465
59.235866,38,76.012901
55.474933,35,76.32086
43.837511,43,76.400719
26.182995,34,76.471817
14.880093,39,76.537366
27.179917,34,76.705135
11.804719,41,76.820221
53.026928,37,76.943405
25.778464,32,77.117927
39.530497,38,77.196093
28.728714,41,77.281394
52.224782,43,77.44699
46.816983,34,77.527251
61.308681,40,77.628863
48.218488,41,77.731301
25.920121,36,77.916777
42.972001,44,78.026379
41.543067,44,78.096567
43.049054,41,78.263063
39.945261,41,78.323323
39.966725,41,78.381335
46.986812,44,78.599504
39.586375,46,78.669637
45.880872,37,78.723092
58.868083,46,78.927243
38.424253,41,79.002692
41.30334,41,79.075064
40.851901,37,79.248328
60.876818,40,79.346052
47.861531,41,79.435238
50.551063,40,79.618746
54.711744,35,79.707063
48.865687,38,79.788713
47.727803,41,79.842213
45.451734,38,80.035306
33.392467,39,80.158941
24.816493,38,80.24405
39.427508,40,80.451865
34.899723,44,80.573551
57.638376,41,80.674955
45.199606,46,80.873757
39.130597,41,80.975134
43.098583,41,81.045077
44.940524,43,81.238357
23.005965,42,81.326512
9.261237,46,81.410612
69.684444,40,81.629432
43.294066,44,81.71911
22.867558,41,81.787413
42.640662,38,81.977005
39.863399,47,82.084763
35.92625,40,82.189109
31.834707,40,82.361595
35.294372,41,82.486057
48.286495,38,82.60457
25.809732,46,82.808984
51.028044,41,82.886011
44.19028,38,82.937702
36.901042,43,83.131577
39.299908,44,83.221148
55.18637,45,83.296773
34.256266,46,83.462765
62.285994,41,83.548575
37.090215,43,83.62055
31.132056,41,83.792493
46.02847,37,83.862583
39.826843,32,83.932918
41.590396,34,84.003141
38.157272,41,84.222467
40.372354,40,84.325189
49.29013,46,84.423178
59.322149,38,84.618467
17.190992,39,84.683419
49.122004,41,84.745872
45.898322,43,84.938084
48.913524,47,85.040283
57.973174,40,85.119086
49.086203,38,85.350195
50.145605,41,85.447635
32.097928,30,85.526043
27.215739,47,85.745958
62.060109,41,85.851632
39.120706,43,85.942038
41.873344,35,86.043453
51.610595,41,86.245065
40.351394,41,86.315154
28.782334,41,86.374746
34.964286,33,86.553586
39.988339,32,86.638734
34.864067,38,86.745243
52.904922,38,87.060759
13.53162,39,87.118117
35.915572,37,87.177336
38.433723,34,87.232645
22.977369,44,87.475311
62.580094,39,87.553493
44.256217,43,87.622623
61.220951,36,87.780902
52.678372,40,87.871669
39.417316,38,87.957785
42.103803,43,88.155671
59.321217,47,88.291069
32.516426,43,88.403634
66.834187,47,88.633819
47.44121,45,88.730334
41.338793,44,88.79832
57.91686,44,89.017716
38.286404,43,89.12424
48.327842,34,89.189018
37.939284,37,89.379904
46.870833,34,89.452351
35.198557,33,89.519702
26.62075,44,89.618132
35.556769,31,89.82399
62.625297,47,89.949211
39.093123,35,90.022155
44.736847,45,90.225563
49.316991,39,90.336772
30.285732,38,90.420292
55.706302,32,90.589296
57.966746,38,90.692124
7.882942,38,90.790526
35.359562,36,90.88875
43.742659,41,91.07594
56.035772,37,91.135731
36.18338,37,91.193924
36.1105,35,91.389497
56.481791,41,91.48902
51.439728,35,91.583343
40.275243,38,91.779562
57.924259,33,91.853567
49.210223,41,91.941128
55.651682,35,92.021444
35.461361,43,92.214908
67.813978,41,92.334427
44.338831,44,92.418555
34.600882,32,92.654723
20.355258,43,92.746736
57.533073,39,92.825132
43.888948,26,92.910806
42.40518,41,93.10844
37.9609,38,93.194888
39.975547,36,93.289853
57.175432,41,93.474924
39.082768,40,93.561896
59.93242,38,93.631063
44.830256,32,93.787654
55.330367,34,93.854654
24.199483,38,93.936762
59.136411,38,94.010834
47.617644,35,94.190414
36.272537,35,94.253696
50.816897,37,94.321474
46.608475,38,94.496904
44.532822,42,94.575992
38.427282,36,94.646875
18.146977,37,94.717937
48.311669,41,94.990873
37.813508,41,95.078445
29.781325,45,95.154073
25.714796,41,95.362178
62.525523,39,95.474887
62.685564,38,95.580871
42.171862,41,95.763052
42.119629,41,95.853573
48.933377,38,95.923673
