#{"t_start": 1694990745.1364563, "env_id": "Radar-v0"}
r,l,t
0.0,1,3.340793
0.0,1,3.342329
0.0,1,3.343897
0.0,1,3.345405
0.0,1,3.346885
0.0,1,3.34865
0.0,1,3.350258
0.0,1,3.351792
0.0,1,3.353357
0.0,1,3.354921
0.0,1,3.356383
0.0,1,3.357906
0.0,1,3.359445
0.0,1,3.360989
0.0,1,3.36253
0.0,1,3.364072
0.0,1,3.365599
0.0,1,3.367114
0.0,1,3.368949
0.0,1,3.370543
0.0,1,3.372115
0.0,1,3.37365
0.0,1,3.375159
0.0,1,3.376679
0.0,1,3.378223
0.0,1,3.379634
0.0,1,3.381221
0.0,1,3.382742
0.0,1,3.384312
0.0,1,3.38584
0.0,1,3.38737
0.0,1,3.388988
0.0,1,3.390584
0.0,1,3.39216
0.0,1,3.39367
0.0,1,3.395174
0.0,1,3.396659
0.0,1,3.398216
0.0,1,3.399807
0.0,1,3.401361
0.0,1,3.402866
0.0,1,3.40438
0.0,1,3.406029
0.0,1,3.407529
0.0,1,3.409299
0.0,1,3.410762
0.0,1,3.412308
0.0,1,3.413921
0.0,1,3.415492
0.0,1,3.417037
0.0,1,3.418605
0.0,1,3.420105
0.0,1,3.421639
0.0,1,3.423171
0.0,1,3.424856
0.0,1,3.426424
0.0,1,3.428014
0.0,1,3.429788
0.0,1,3.431362
0.0,1,3.432987
0.0,1,3.434593
0.0,1,3.436218
0.0,1,3.437785
0.0,1,3.439353
0.0,1,3.440912
0.0,1,3.442539
0.0,1,3.44407
0.0,1,3.445632
0.0,1,3.447201
0.0,1,3.448862
0.0,1,3.53763
0.0,1,3.540355
0.0,1,3.542664
0.0,1,3.545042
0.0,1,3.546631
0.0,1,3.548382
0.0,1,3.550353
0.0,1,3.552358
0.0,1,3.554358
0.0,1,3.556351
0.0,1,3.558304
0.0,1,3.560211
0.0,1,3.562167
0.0,1,3.563915
0.0,1,3.565816
0.0,1,3.567462
0.0,1,3.569444
0.0,1,3.571115
0.0,1,3.573083
0.0,1,3.574986
0.0,1,3.577104
0.0,1,3.578934
0.0,1,3.580807
0.0,1,3.582454
0.0,1,3.584259
0.0,1,3.585921
0.0,1,3.587734
0.0,1,3.589412
0.0,1,3.59117
0.0,1,3.592963
0.0,1,3.594788
0.0,1,3.5964
0.0,1,3.598403
0.0,1,3.600055
0.0,1,3.602033
0.0,1,3.603665
0.0,1,3.605239
0.0,1,3.607267
0.0,1,3.609001
0.0,1,3.61078
0.0,1,3.612484
0.0,1,3.614067
0.0,1,3.616238
0.0,1,3.617863
0.0,1,3.61979
0.0,1,3.621361
0.0,1,3.623198
0.0,1,3.624929
0.0,1,3.626797
0.0,1,3.628598
0.0,1,3.63033
0.0,1,3.631952
0.0,1,3.633768
0.0,1,3.635345
0.0,1,3.637177
0.0,1,3.638979
0.0,1,3.640742
0.0,1,3.642504
0.0,1,3.644068
0.0,1,3.6459
0.0,1,3.647784
0.0,1,3.649545
0.0,1,3.651205
0.0,1,3.6528
0.0,1,3.654418
0.0,1,3.656271
0.0,1,3.658114
0.0,1,3.659882
0.0,1,3.661667
0.0,1,3.663496
0.0,1,3.665172
0.0,1,3.666925
0.0,1,3.668593
0.0,1,3.670647
0.0,1,3.672297
0.0,1,3.674146
0.0,1,3.675807
0.0,1,3.67743
0.0,1,3.67923
0.0,1,3.680944
0.0,1,3.682754
0.0,1,3.684543
0.0,1,3.686366
0.0,1,3.687982
0.0,1,3.689632
0.0,1,3.691506
0.0,1,3.693195
0.0,1,3.695042
0.0,1,3.696841
0.0,1,3.698585
0.0,1,3.700599
0.0,1,3.702612
0.0,1,3.704468
0.0,1,3.706571
0.0,1,3.708445
0.0,1,3.710211
0.0,1,3.711946
0.0,1,3.713685
0.0,1,3.715578
0.0,1,3.717471
0.0,1,3.719479
0.0,1,3.721289
0.0,1,3.723235
0.0,1,3.725264
0.0,1,3.727137
0.0,1,3.729437
0.0,1,3.73129
0.0,1,3.733195
0.0,1,3.734706
0.0,1,3.736276
0.0,1,3.738189
0.0,1,3.73991
0.0,1,3.74157
0.0,1,3.743217
0.0,1,3.744919
0.0,1,3.746538
0.0,1,3.748107
0.0,1,3.749815
0.0,1,3.751635
0.0,1,3.753386
0.0,1,3.754998
0.0,1,3.757032
0.0,1,3.758713
0.0,1,3.760366
0.0,1,3.76198
0.0,1,3.763601
0.0,1,3.765301
0.0,1,3.767009
0.0,1,3.857146
0.0,1,3.85961
0.0,1,3.861332
0.0,1,3.862875
0.0,1,3.864504
0.0,1,3.8661
0.0,1,3.867661
0.0,1,3.869271
0.0,1,3.87115
0.0,1,3.872812
0.0,1,3.874426
0.0,1,3.876006
0.0,1,3.877629
0.0,1,3.87919
0.0,1,3.880972
0.0,1,3.882683
0.0,1,3.88435
0.0,1,3.886041
0.0,1,3.887707
0.0,1,3.889422
0.0,1,3.891273
0.0,1,3.893
0.0,1,3.894828
0.0,1,3.896768
0.0,1,3.898476
0.0,1,3.900186
0.0,1,3.901891
0.0,1,3.903504
0.0,1,3.905218
0.0,1,3.90684
0.0,1,3.908503
0.0,1,3.910152
0.0,1,3.911814
0.0,1,3.913472
0.0,1,3.915203
0.0,1,3.917131
0.0,1,3.918767
0.0,1,3.920494
0.0,1,3.922216
0.0,1,3.923853
0.0,1,3.925571
0.0,1,3.927119
0.0,1,3.928799
0.0,1,3.930465
0.0,1,3.932197
0.0,1,3.933874
0.0,1,3.935554
0.0,1,3.937262
0.0,1,3.939121
0.0,1,3.940796
0.0,1,3.942449
0.0,1,3.944022
0.0,1,3.945621
0.0,1,3.947208
0.0,1,3.948989
0.0,1,3.950622
0.0,1,3.952259
0.0,1,3.954045
0.0,1,3.955707
0.0,1,3.957395
0.0,1,3.959321
0.0,1,3.961012
0.0,1,3.962933
0.0,1,3.964748
0.0,1,3.9665
0.0,1,3.968108
0.0,1,3.969857
0.0,1,3.9716
0.0,1,3.973392
0.0,1,3.975102
0.0,1,3.976799
0.0,1,3.978592
0.0,1,3.980287
0.0,1,3.982442
0.0,1,3.984209
0.0,1,3.985897
0.0,1,3.98755
0.0,1,3.989333
0.0,1,3.991024
0.0,1,3.993011
0.0,1,3.994629
0.0,1,3.996455
0.0,1,3.998194
0.0,1,4.000227
0.0,1,4.001907
0.0,1,4.003735
0.0,1,4.005595
0.0,1,4.007445
0.0,1,4.009131
0.0,1,4.011095
0.0,1,4.01279
0.0,1,4.014525
0.0,1,4.016141
0.0,1,4.018098
0.0,1,4.019773
0.0,1,4.021515
0.0,1,4.023218
0.0,1,4.025036
0.0,1,4.026683
0.0,1,4.028651
0.0,1,4.030336
0.0,1,4.032072
0.0,1,4.033993
0.0,1,4.035687
0.0,1,4.037321
0.0,1,4.038962
0.0,1,4.041111
0.0,1,4.042948
0.0,1,4.044683
0.0,1,4.046419
0.0,1,4.048132
0.0,1,4.049891
0.0,1,4.051751
0.0,1,4.053439
0.0,1,4.055069
0.0,1,4.05687
0.0,1,4.058777
0.0,1,4.060521
0.0,1,4.062194
0.0,1,4.063934
0.0,1,4.065629
0.0,1,4.067235
0.0,1,4.06883
0.0,1,4.070525
0.0,1,4.072155
0.0,1,4.074052
0.0,1,4.075955
0.0,1,4.077725
